,id,cari,mig,sex,age,fam_size,rural_urban
2915,174897200,2,1,Woman,64,2,Rural
2916,174897197,2,1,Woman,27,4,Rural
2917,174897024,2,1,Man,31,4,Rural
2918,174897020,2,1,Woman,25,4,Rural
2919,174897016,2,0,Woman,40,5,Rural
2920,174897011,2,1,Man,42,3,Rural
2921,174897008,1,1,Man,43,5,Rural
2922,174897007,2,0,Man,53,4,Rural
2923,174896997,2,1,Woman,30,5,Rural
2924,174896774,2,1,Man,34,5,Rural
2925,174896772,2,1,Man,55,4,Rural
2926,174896768,3,1,Man,51,9,Rural
2927,174896583,2,1,Woman,36,5,Urban
2928,174896580,1,0,Woman,64,3,Urban
2929,174896576,2,1,Woman,40,4,Urban
2930,174896572,2,0,Woman,35,5,Urban
2931,174896565,2,0,Woman,39,5,Urban
2932,174896562,2,0,Woman,78,6,Urban
2933,174896255,1,0,Man,57,8,Rural
2934,174896250,2,0,Woman,43,8,Rural
2935,174896237,1,0,Woman,49,7,Rural
2936,174895929,2,1,Woman,31,4,Rural
2937,174895927,2,1,Woman,40,8,Rural
2938,174895830,2,0,Woman,47,4,Rural
2939,174895828,3,0,Woman,20,3,Rural
2940,174895825,3,0,Woman,22,5,Rural
2941,174894682,1,0,Man,46,4,Rural
2942,174894679,2,0,Woman,75,2,Rural
2943,174894677,2,1,Woman,39,8,Rural
2944,174894676,1,0,Woman,81,1,Rural
2945,174894674,2,1,Woman,56,7,Rural
2946,174894665,1,0,Man,70,1,Rural
2947,174894657,2,1,Man,33,4,Rural
2948,174894656,2,0,Woman,21,5,Rural
2949,174894655,2,0,Woman,28,7,Rural
2950,174894654,1,0,Woman,55,3,Rural
2951,174894651,1,0,Woman,49,1,Rural
2952,174894647,1,1,Woman,26,9,Rural
2953,174894602,2,0,Woman,34,8,Rural
2954,174894597,2,0,Woman,40,4,Rural
2955,174894593,2,0,Woman,54,3,Rural
2956,174894588,1,1,Woman,47,5,Rural
2957,174894537,2,1,Man,43,4,Rural
2958,174894536,2,0,Woman,37,4,Rural
2959,174894534,2,1,Man,34,6,Rural
2960,174894529,1,1,Woman,57,4,Rural
2961,174894516,1,1,Man,70,5,Rural
2962,174894515,2,1,Man,23,6,Rural
2963,174894511,2,0,Woman,40,5,Rural
2964,174894510,2,0,Man,49,7,Rural
2965,174894507,1,1,Woman,28,3,Rural
2966,174894505,1,0,Woman,24,3,Rural
