country,neighborhood,rural_urban,sex,age,family_type,family_size,mig_int_global,mig_plan_global,mig_prep_global,mig_int_dom,mig_plan_dom,mig_prep_dom,ppl_mig_num_5y,currency,exp_monthly_food,income_exp_month_food,income_month_avg,deposit_currency,monthly_income,CARI
HND,Col. La mora,2,1,54,1,2,0,,,0,,,0,2,3000,1,0,,,1
HND,Col la mora,2,1,25,1,6,0,,,0,,,0,2,10000,1,99,,,1
GT,EL CARMEN BUXUP,1,1,16,1,4,0,,,0,,,0,3,800,1,0,,,1
GT,EL CARMEN BUXUP,1,1,48,1,6,0,,,0,,,0,3,1000,1,1,3.0,5350.0,1
HND,Búfalo,2,2,48,1,4,0,,,0,,,0,2,5000,2,99,,,1
HND,Búfalo,2,1,55,1,4,0,,,0,,,1,2,4000,2,0,,,1
HND,Barrio las Flores,2,1,47,2,3,0,,,1,0.0,,0,2,5000,2,1,2.0,13000.0,1
HND,El zapote San Francisco de Yojoa,1,2,74,1,2,0,,,0,,,0,2,3000,2,99,,,1
HND,Colonia la paz bloque 3,1,1,75,2,5,0,,,0,,,0,2,3600,5,0,,,1
HND,San pablo #1,2,1,43,1,4,0,,,0,,,0,2,6000,1,0,,,1
HND,Colonia la paz bloque 3,1,1,75,2,3,0,,,0,,,0,2,2100,5,0,,,1
HND,La coroza nueva murcia,1,2,52,1,4,0,,,0,,,0,2,1000,3,0,,,1
GT,Tajumulco,2,1,22,10,5,0,,,0,,,0,3,1000,2,99,,,1
GT,Tajumulco,2,1,25,10,5,0,,,1,0.0,,0,3,700,1,1,3.0,1500.0,1
GT,Caserio los espino,1,1,58,1,6,0,,,0,,,1,3,1000,2,1,3.0,1500.0,1
GT,Caserio los espinos,1,1,60,5,10,0,,,0,,,0,3,200,5,1,3.0,1000.0,1
GT,Casetio los espinos,1,1,44,5,5,0,,,0,,,0,3,1000,5,1,3.0,1200.0,1
GT,Tajumulco,2,1,48,2,6,0,,,0,,,0,3,1000,3,1,3.0,3000.0,1
GT,Tajumulco,2,1,45,2,5,0,,,0,,,1,3,600,3,1,3.0,800.0,1
HND,"Comunidad, San Isidro",1,1,30,1,3,0,,,0,,,0,2,3500,2,1,2.0,15000.0,1
